Time,Load Cell,Moving Forward
2821969.0,0.00086474,0.0
2822047.0,-0.0080748,0.0
2822125.0,-0.00223365,0.0
2822204.0,-0.01391601,0.0
2822282.0,-0.0027415,0.0
2822360.0,-0.00152253,0.0
2822438.0,-0.01899534,0.0
2822516.0,0.00990587,0.0
2822594.0,0.01600098,0.0
2822672.0,-0.01310321,0.0
2822750.0,-0.00690651,0.0
2822828.0,-0.01401754,0.0
2822907.0,-0.0147795,0.0
2822985.0,0.00457258,0.0
2823063.0,-0.00192885,0.0
2823141.0,-0.02844273,0.0
2823219.0,0.01991209,0.0
2823297.0,-0.00538273,0.0
2823375.0,0.01615334,0.0
2823453.0,0.00462342,0.0
2823532.0,-0.00243678,0.0
2823610.0,0.01503596,0.0
2823688.0,0.01935333,0.0
2823766.0,0.00726464,0.0
2823844.0,0.00701068,0.0
2823922.0,-0.00243678,0.0
2824000.0,-0.01147791,0.0
2824078.0,0.00518218,0.0
2824156.0,0.00995656,0.0
2824234.0,-0.0080748,0.0
2824313.0,-0.00858272,0.0
2824391.0,-0.00995413,0.0
2824469.0,-0.01371281,0.0
2824547.0,-0.01513499,0.0
2824625.0,-0.00822716,0.0
2824703.0,-0.01559215,0.0
2824781.0,-0.00360499,0.0
2824859.0,-0.00782083,0.0
2824938.0,-0.00746527,0.0
2825016.0,0.00396313,0.0
2825094.0,-0.00893828,0.0
2825172.0,0.00802653,0.0
2825250.0,0.01280106,0.0
2825328.0,-0.00563669,0.0
2825406.0,-0.00375743,0.0
2825484.0,-0.0010146,0.0
2825562.0,0.01107409,0.0
2825641.0,-0.00426528,0.0
2825719.0,-0.00248762,0.0
2825797.0,0.00137259,0.0
2825875.0,0.00167746,0.0
2825953.0,0.00203295,0.0
2826031.0,-0.0033511,0.0
2826109.0,0.00721381,0.0
2826187.0,-0.01061442,0.0
2826265.0,-0.00096376,0.0
2826344.0,-0.0099033,0.0
2826422.0,-0.01193507,0.0
2826500.0,0.03103569,0.0
2826578.0,0.00198219,0.0
2826656.0,-0.02783313,0.0
2826734.0,-0.00512892,0.0
2826812.0,0.0146804,0.0
2826891.0,-0.00147176,0.0
2826969.0,0.00574094,0.0
2827047.0,0.00502974,0.0
2827125.0,0.01229314,0.0
2827203.0,0.00106786,0.0
2827281.0,-0.00218281,0.0
2827359.0,-0.01203667,0.0
2827437.0,0.00645192,0.0
2827515.0,-0.00558593,0.0
2827594.0,-0.01559215,0.0
2827672.0,-0.02204282,0.0
2827750.0,0.00309964,0.0
2827828.0,0.00782333,0.0
2827906.0,0.00523287,0.0
2827984.0,-0.00441772,0.0
2828062.0,-0.01670953,0.0
2828140.0,0.00020445,0.0
2828218.0,0.00426785,0.0
2828296.0,-0.00655102,0.0
2828375.0,-0.00070988,0.0
2828453.0,0.00015361,0.0
2828531.0,0.00375993,0.0
2828609.0,-0.02189039,0.0
2828687.0,-0.00609393,0.0
2828765.0,-0.01249376,0.0
2828843.0,0.01686454,0.0
2828921.0,0.00797569,0.0
2829000.0,0.01076936,0.0
2829078.0,-0.01030962,0.0
2829156.0,-0.0033511,0.0
2829234.0,0.00665512,0.0
2829312.0,-0.0080748,0.0
2829390.0,-0.00726215,0.0
2829468.0,-0.01579535,0.0
2829546.0,0.00706152,0.0
2829624.0,-0.00192885,0.0
2829703.0,-0.01767469,0.0
2829781.0,-0.01513499,0.0
2829859.0,-0.00787167,0.0
2829937.0,-0.01935076,0.0
2830015.0,-0.00853196,0.0
2830093.0,0.00904238,0.0
2830171.0,-0.00121773,0.0
2830249.0,0.01330899,0.0
2830327.0,0.01036303,0.0
2830406.0,0.00172823,0.0
2830484.0,0.00965183,0.0
2830562.0,-0.00431612,0.0
2830640.0,-0.00548433,0.0
2830718.0,-0.01168111,0.0
2830796.0,0.0126487,0.0
2830874.0,0.00960115,0.0
2830952.0,0.00635039,0.0
2831030.0,0.01361371,0.0
2831109.0,-0.00010028,0.0
2831187.0,0.01015983,0.0
2831265.0,0.01396928,0.0
2831343.0,-0.00167489,0.0
2831421.0,-0.00558593,0.0
2831499.0,-0.0125446,0.0
2831577.0,0.00076314,0.0
2831656.0,0.02671833,0.0
2831734.0,0.02011522,0.0
2831812.0,0.00502974,0.0
2831890.0,0.00680748,0.0
2831968.0,-0.00523044,0.0
2832046.0,0.00990587,0.0
2832124.0,-0.01559215,0.0
2832202.0,0.01330899,0.0
2832280.0,-0.00548433,0.0
2832358.0,0.00243935,0.0
2832437.0,0.01645807,0.0
2832515.0,-0.00487488,0.0
2832593.0,0.01589938,0.0
2832671.0,-0.0141699,0.0
2832749.0,0.01148049,0.0
2832827.0,0.01635654,0.0
2832905.0,0.00066154,0.0
